symbol,location,latitude,longitude,in_both
MMM,"St. Paul, Minnesota",44.9537029,-93.0899578,TRUE
ABT,"North Chicago, Illinois",42.325578,-87.8411818,TRUE
ABBV,"North Chicago, Illinois",42.325578,-87.8411818,TRUE
ABMD,"Danvers, Massachusetts",42.5750009,-70.932122,FALSE
ACN,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
ATVI,"Santa Monica, California",34.0194543,-118.4911912,TRUE
ADBE,"San Jose, California",37.3382082,-121.8863286,TRUE
AMD,"Sunnyvale, California",37.36883,-122.0363496,TRUE
AAP,"Raleigh, North Carolina",35.7795897,-78.6381787,TRUE
AES,"Arlington, Virginia",38.8816208,-77.0909809,TRUE
AMG,"West Palm Beach, Florida",26.7153424,-80.0533746,TRUE
AFL,"Columbus, Georgia",32.4609764,-84.9877094,TRUE
A,"Santa Clara, California",37.3541079,-121.9552356,TRUE
APD,"Allentown, Pennsylvania",40.6022939,-75.4714098,TRUE
AKAM,"Cambridge, Massachusetts",42.3736158,-71.1097335,TRUE
ALK,"Seattle, Washington",47.6062095,-122.3320708,TRUE
ALB,"Charlotte, North Carolina",35.2270869,-80.8431267,TRUE
ARE,"Pasadena, California",34.1477849,-118.1445155,TRUE
ALXN,"Boston, Massachusetts",42.3600825,-71.0588801,TRUE
ALGN,"San Jose, California",37.3382082,-121.8863286,TRUE
ALLE,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
AGN,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
ADS,"Plano, Texas",33.0198431,-96.6988856,TRUE
LNT,"Madison, Wisconsin",43.0730517,-89.4012302,TRUE
ALL,"Northfield Township, Illinois",42.1056266,-87.8293789,TRUE
GOOGL,"Mountain View, California",37.3860517,-122.0838511,TRUE
GOOG,"Mountain View, California",37.3860517,-122.0838511,TRUE
MO,"Richmond, Virginia",37.5407246,-77.4360481,TRUE
AMZN,"Seattle, Washington",47.6062095,-122.3320708,TRUE
AEE,"St. Louis, Missouri",38.6270025,-90.1994042,TRUE
AAL,"Fort Worth, Texas",32.7554883,-97.3307658,TRUE
AEP,"Columbus, Ohio",39.9611755,-82.9987942,TRUE
AXP,"New York, New York",36.1023715,-115.1745559,TRUE
AIG,"New York, New York",36.1023715,-115.1745559,TRUE
AMT,"Boston, Massachusetts",42.3600825,-71.0588801,TRUE
AWK,"Voorhees, New Jersey",39.8519447,-74.961517,TRUE
AMP,"Minneapolis, Minnesota",44.977753,-93.2650108,TRUE
ABC,"Chesterbrook, Pennsylvania",40.0756627,-75.4590816,TRUE
AME,"Berwyn, Pennsylvania",40.045824,-75.4395931,TRUE
AMGN,"Thousand Oaks, California",34.1705609,-118.8375937,TRUE
APH,"Wallingford, Connecticut",41.4570108,-72.8230736,TRUE
APC,"The Woodlands, Texas",30.1658207,-95.4612625,TRUE
ADI,"Norwood, Massachusetts",42.1943909,-71.1989695,TRUE
ANSS,"Canonsburg, Pennsylvania",40.2625702,-80.1872797,TRUE
ANTM,"Indianapolis, Indiana",39.768403,-86.158068,TRUE
AON,"London, United Kingdom",51.5073509,-0.1277583,TRUE
AOS,"Milwaukee, Wisconsin",43.0389025,-87.9064736,TRUE
APA,"Houston, Texas",29.7604267,-95.3698028,TRUE
AIV,"Denver, Colorado",39.7392358,-104.990251,TRUE
AAPL,"Cupertino, California",37.3229978,-122.0321823,TRUE
AMAT,"Santa Clara, California",37.3541079,-121.9552356,TRUE
